iter	MultiClass
0	1.91351723
1	1.780637874
2	1.680249677
3	1.591216256
4	1.500465273
5	1.440132649
6	1.379224775
7	1.329160297
8	1.28298094
9	1.243216118
10	1.208190852
11	1.176406188
12	1.144894401
13	1.115453573
14	1.088290471
15	1.065324522
16	1.046189157
17	1.024714778
18	1.005945795
19	0.9858840317
20	0.9678963602
21	0.9496561676
22	0.9338616982
23	0.9206913425
24	0.9079467206
25	0.8937473873
26	0.8804020061
27	0.8729238284
28	0.8631720335
29	0.8536474982
30	0.8438617585
31	0.8342442641
32	0.8247863295
33	0.81494769
34	0.8073938298
35	0.8011831272
36	0.7948597227
37	0.7880249868
38	0.7799624778
39	0.7738978701
40	0.7673035012
41	0.7622631709
42	0.7566855057
43	0.7507467397
44	0.7459270636
45	0.7406725355
46	0.7351508935
47	0.7305802788
48	0.725131145
49	0.7205118633
50	0.714509895
51	0.7094201754
52	0.7052021862
53	0.7011874373
54	0.6972907583
55	0.69230506
56	0.6884046449
57	0.6838742394
58	0.6797004578
59	0.6759385672
60	0.6733601582
61	0.6706140423
62	0.6664994826
63	0.662956656
64	0.6603326205
65	0.6564185127
66	0.6536689553
67	0.651320205
68	0.6484508729
69	0.6451539089
70	0.6414249997
71	0.6381934178
72	0.6353034621
73	0.6326350288
74	0.6289663077
75	0.6262715181
76	0.6232847202
77	0.6207594456
78	0.6179862066
79	0.6163271199
80	0.6133122155
81	0.612116187
82	0.6090980903
83	0.6071638766
84	0.6053261111
85	0.6029288291
86	0.6005113127
87	0.5980430834
88	0.5963704268
89	0.5947111922
90	0.5925975717
91	0.5904235385
92	0.5884615868
93	0.5858360093
94	0.5844120822
95	0.5818107376
96	0.580639956
97	0.5783572744
98	0.5767183319
99	0.5745186751
100	0.57154272
101	0.5698684104
102	0.5679809664
103	0.5657278821
104	0.5640911839
105	0.5622139309
106	0.5605273625
107	0.5584686682
108	0.5561557423
109	0.5539297611
110	0.5523149068
111	0.5505830385
112	0.5490658551
113	0.5474250206
114	0.5459499783
115	0.5443314503
116	0.5419333616
117	0.5398545623
118	0.5381415527
119	0.5359497924
120	0.5345051267
121	0.5333596631
122	0.5319554608
123	0.5299166911
124	0.527813816
125	0.5258351752
126	0.5242779774
127	0.5235700239
128	0.5215763852
129	0.5206724529
130	0.5194174724
131	0.5176971738
132	0.5165021447
133	0.5148311475
134	0.5133042879
135	0.5111842611
136	0.5094987267
137	0.5085160091
138	0.5062881621
139	0.5042631251
140	0.5027644048
141	0.5011961986
142	0.4992148371
143	0.4976654274
144	0.4963827315
145	0.4956410607
146	0.4942785925
147	0.4930982629
148	0.4923576402
149	0.4902693571
150	0.4885508693
151	0.4870321618
152	0.4851317817
153	0.4839473709
154	0.4826352852
155	0.481035419
156	0.478868468
157	0.4770488566
158	0.4758344286
159	0.4744809686
160	0.4732799726
161	0.471798461
162	0.4703066765
163	0.4687016946
164	0.4671222174
165	0.4650396807
166	0.4633889783
167	0.4623562364
168	0.460941512
169	0.4595574961
170	0.4581903341
171	0.4567286327
172	0.4555829098
173	0.4542489465
174	0.4528899695
175	0.4518459877
176	0.4502022398
177	0.4489724903
178	0.4478307795
179	0.4472273543
180	0.4465107988
181	0.4450417002
182	0.443756975
183	0.4422784944
184	0.4411078873
185	0.4395093694
186	0.4381697917
187	0.4373445236
188	0.4362985519
189	0.4348649218
190	0.4332861319
191	0.4317447565
192	0.4307566418
193	0.4293722123
194	0.4279256
195	0.4271920159
196	0.4261373258
197	0.4253540935
198	0.4244733108
199	0.4225846294
200	0.4212224711
201	0.4200498865
202	0.4189840697
203	0.4179379441
204	0.4168027842
205	0.4157611733
206	0.4150074932
207	0.4136777397
208	0.412874107
209	0.4117878428
210	0.4106518812
211	0.4094033192
212	0.4081021052
213	0.4068335594
214	0.4048481925
215	0.4038006979
216	0.402609971
217	0.4012116896
218	0.399820227
219	0.3981998183
220	0.3967786492
221	0.3958593548
222	0.3951260127
223	0.3940780351
224	0.3930621798
225	0.3918477146
226	0.3912004508
227	0.3902480057
228	0.3889484169
229	0.3881945373
230	0.3867574386
231	0.3861520642
232	0.3853661289
233	0.3841889381
234	0.3828846251
235	0.3819741197
236	0.3811139083
237	0.3804678734
238	0.3797704256
239	0.378534898
240	0.3779193643
241	0.3772078159
242	0.3768407581
243	0.376005449
244	0.3750260157
245	0.3747023092
246	0.3737172293
247	0.372503258
248	0.3720632727
249	0.3712823413
