iter	Passed	Remaining
0	38	9571
1	62	7790
2	81	6688
3	99	6124
4	118	5812
5	138	5628
6	156	5444
7	176	5333
8	195	5239
9	214	5143
10	232	5051
11	251	4991
12	270	4927
13	289	4874
14	308	4828
15	327	4787
16	346	4748
17	365	4715
18	384	4676
19	403	4636
20	423	4619
21	443	4600
22	463	4570
23	483	4556
24	504	4542
25	524	4517
26	544	4497
27	564	4473
28	582	4442
29	603	4426
30	623	4407
31	656	4469
32	674	4437
33	694	4410
34	714	4386
35	733	4359
36	751	4328
37	771	4304
38	790	4275
39	809	4248
40	827	4216
41	845	4185
42	864	4159
43	882	4133
44	902	4110
45	921	4085
46	939	4057
47	959	4039
48	980	4021
49	999	3998
50	1018	3974
51	1037	3949
52	1059	3937
53	1079	3919
54	1098	3895
55	1119	3878
56	1138	3854
57	1156	3828
58	1175	3806
59	1194	3782
60	1213	3760
61	1231	3734
62	1251	3713
63	1270	3691
64	1288	3666
65	1306	3641
66	1325	3620
67	1344	3597
68	1363	3577
69	1383	3557
70	1403	3539
71	1422	3517
72	1441	3495
73	1461	3475
74	1481	3456
75	1499	3433
76	1521	3417
77	1540	3395
78	1558	3373
79	1579	3356
80	1597	3332
81	1616	3311
82	1635	3290
83	1654	3269
84	1673	3248
85	1691	3226
86	1710	3205
87	1728	3182
88	1746	3159
89	1765	3138
90	1784	3118
91	1803	3097
92	1822	3076
93	1841	3055
94	1859	3034
95	1879	3014
96	1898	2994
97	1917	2973
98	1937	2954
99	1956	2935
100	1978	2918
101	1997	2898
102	2017	2879
103	2037	2860
104	2058	2842
105	2077	2822
106	2097	2803
107	2116	2782
108	2134	2761
109	2154	2741
110	2174	2722
111	2192	2701
112	2211	2681
113	2231	2661
114	2250	2642
115	2269	2622
116	2288	2601
117	2307	2580
118	2326	2561
119	2345	2541
120	2363	2520
121	2382	2500
122	2403	2481
123	2422	2461
124	2442	2442
125	2462	2422
126	2481	2403
127	2500	2383
128	2519	2363
129	2539	2344
130	2558	2323
131	2577	2304
132	2596	2284
133	2615	2264
134	2635	2244
135	2655	2225
136	2673	2205
137	2691	2184
138	2710	2164
139	2748	2159
140	2775	2145
141	2797	2127
142	2821	2111
143	2841	2091
144	2860	2071
145	2878	2050
146	2898	2030
147	2918	2011
148	2938	1991
149	2957	1971
150	2977	1952
151	2996	1932
152	3016	1912
153	3034	1891
154	3055	1872
155	3074	1852
156	3094	1833
157	3113	1812
158	3133	1793
159	3153	1773
160	3171	1753
161	3190	1733
162	3210	1713
163	3228	1692
164	3246	1672
165	3266	1652
166	3285	1632
167	3305	1613
168	3323	1593
169	3343	1573
170	3362	1553
171	3382	1533
172	3401	1513
173	3420	1493
174	3438	1473
175	3457	1453
176	3478	1434
177	3497	1414
178	3516	1394
179	3536	1375
180	3556	1355
181	3575	1336
182	3594	1316
183	3612	1295
184	3631	1275
185	3649	1255
186	3668	1235
187	3687	1215
188	3706	1196
189	3724	1176
190	3742	1156
191	3762	1136
192	3781	1116
193	3799	1096
194	3818	1077
195	3837	1057
196	3856	1037
197	3875	1017
198	3894	998
199	3914	978
200	3932	958
201	3951	938
202	3970	919
203	3990	899
204	4010	880
205	4031	861
206	4051	841
207	4069	821
208	4088	802
209	4108	782
210	4128	763
211	4148	743
212	4166	723
213	4184	703
214	4205	684
215	4224	664
216	4243	645
217	4262	625
218	4280	605
219	4299	586
220	4318	566
221	4337	547
222	4356	527
223	4375	507
224	4394	488
225	4413	468
226	4433	449
227	4453	429
228	4473	410
229	4492	390
230	4521	371
231	4540	352
232	4557	332
233	4581	313
234	4602	293
235	4623	274
236	4644	254
237	4662	235
238	4680	215
239	4699	195
240	4718	176
241	4736	156
242	4754	136
243	4771	117
244	4789	97
245	4808	78
246	4826	58
247	4844	39
248	4863	19
249	4881	0
