capture_id,pcap_file,pcap_path,status,packet_count,flow_count,tshark_packet_count,validation_status,validation_errors,error_message
exp_001_voip_tunnel_aes_gcm_16_256_1789042363,exp_001_voip_tunnel_aes_gcm_16_256_1789042363.pcapng,raw_pcapng/exp_001_voip_tunnel_aes_gcm_16_256_1789042363.pcapng,SUCCESS,328,2,328,PASSED,,
exp_002_voip_transport_aes_gcm_16_128_1789042405,exp_002_voip_transport_aes_gcm_16_128_1789042405.pcapng,raw_pcapng/exp_002_voip_transport_aes_gcm_16_128_1789042405.pcapng,SUCCESS,414,3,414,PASSED,,
exp_003_voip_tunnel_aes_cbc_256_1789042449,exp_003_voip_tunnel_aes_cbc_256_1789042449.pcapng,raw_pcapng/exp_003_voip_tunnel_aes_cbc_256_1789042449.pcapng,SUCCESS,419,4,419,PASSED,,
exp_004_voip_transport_aes_cbc_128_1789042493,exp_004_voip_transport_aes_cbc_128_1789042493.pcapng,raw_pcapng/exp_004_voip_transport_aes_cbc_128_1789042493.pcapng,SUCCESS,322,3,322,PASSED,,
exp_005_voip_tunnel_3des_cbc_1789042535,exp_005_voip_tunnel_3des_cbc_1789042535.pcapng,raw_pcapng/exp_005_voip_tunnel_3des_cbc_1789042535.pcapng,SUCCESS,369,3,369,PASSED,,
exp_006_voip_transport_3des_cbc_1789042578,exp_006_voip_transport_3des_cbc_1789042578.pcapng,raw_pcapng/exp_006_voip_transport_3des_cbc_1789042578.pcapng,SUCCESS,302,1,302,PASSED,,
exp_007_voip_tunnel_aes_gcm_16_256_1789042620,exp_007_voip_tunnel_aes_gcm_16_256_1789042620.pcapng,raw_pcapng/exp_007_voip_tunnel_aes_gcm_16_256_1789042620.pcapng,SUCCESS,319,4,319,PASSED,,
exp_008_voip_transport_aes_gcm_16_128_1789042662,exp_008_voip_transport_aes_gcm_16_128_1789042662.pcapng,raw_pcapng/exp_008_voip_transport_aes_gcm_16_128_1789042662.pcapng,SUCCESS,353,3,353,PASSED,,
exp_009_voip_tunnel_aes_cbc_256_1789042705,exp_009_voip_tunnel_aes_cbc_256_1789042705.pcapng,raw_pcapng/exp_009_voip_tunnel_aes_cbc_256_1789042705.pcapng,SUCCESS,322,3,322,PASSED,,
exp_010_voip_transport_aes_cbc_128_1789042747,exp_010_voip_transport_aes_cbc_128_1789042747.pcapng,raw_pcapng/exp_010_voip_transport_aes_cbc_128_1789042747.pcapng,SUCCESS,323,3,323,PASSED,,
