flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,flow_duration_seconds,min_packet_size,max_packet_size,avg_packet_size,packet_size_std,packets_per_second,bytes_per_second,forward_packet_count,backward_packet_count,forward_bytes,backward_bytes,min_inter_arrival_seconds,max_inter_arrival_seconds,avg_inter_arrival_seconds,inter_arrival_std,source_pcap,traffic_category,dataset_flow_id
flow_1,100.119.32.83,100.127.207.119,4500,4500,UDP,126812,122507460,778.529247045517,104,1280,966.0557360502161,515.1382015238471,162.88662305397744,157357.55652714428,34037,92775,4112396,118395064,0.0,297.8400230407715,0.006139287972222575,0.8370333483808208,bulk_transfer/bulk_01.pcap,bulk_transfer,bulk_01_flow_1
flow_1,100.119.32.83,100.127.207.119,4500,4500,UDP,126931,122499848,480.4933850765228,101,1280,965.0900725591069,515.346919969551,264.1680488063017,254945.9613902714,34143,92788,4154602,118345246,0.0,3.8509068489074707,0.0037854989764163145,0.026079081795346744,bulk_transfer/bulk_02.pcap,bulk_transfer,bulk_02_flow_1
flow_1,100.119.32.83,100.127.207.119,4500,4500,UDP,253357,243824412,1248.2117400169373,116,1280,962.3748781363846,517.3455836264441,202.97597905669605,195338.98310930122,68749,184608,8240216,235584196,0.0,65.70445609092712,0.004926710794364204,0.13502123462634713,bulk_transfer/bulk_03.pcap,bulk_transfer,bulk_03_flow_1
flow_1,100.119.32.83,100.127.207.119,4500,4500,UDP,300,50484,81.83614802360535,116,376,168.28,85.19202779603265,3.665861691259785,616.8912054051966,150,150,30084,20400,1.5020370483398438e-05,3.883464813232422,0.27369949171774366,0.7249010994391681,chat/chat_01.pcap,chat,chat_01_flow_1
flow_1,100.119.32.83,100.127.207.119,4500,4500,UDP,400,67520,59.0559561252594,116,376,168.8,85.67473373171346,6.773237218471044,1143.3224424779123,200,200,40160,27360,1.4066696166992188e-05,5.178056955337524,0.14800991510090075,0.673852595564924,chat/chat_02.pcap,chat,chat_02_flow_1
flow_1,100.119.32.83,100.127.207.119,4500,4500,UDP,402,67700,192.74034690856934,116,372,168.40796019900498,84.93645699980667,2.0857075669304344,351.2497569183841,201,201,40372,27328,1.4066696166992188e-05,7.873533010482788,0.4806492441610208,1.464897140167489,chat/chat_03.pcap,chat,chat_03_flow_1
flow_1,100.119.32.83,100.127.207.119,4500,4500,UDP,733,95632,124.88291096687317,116,236,130.46657571623464,24.12033359304762,5.869498030794925,765.7733092509962,394,339,50056,45576,1.5974044799804688e-05,3.6303958892822266,0.1706050696268759,0.45604514256167633,email/email_01.pcap,email,email_01_flow_1
flow_1,100.119.32.83,100.127.207.119,4500,4500,UDP,1424,1117156,128.77970790863037,116,1280,784.5196629213483,572.485267614671,11.057642722798631,8674.938141594683,490,934,58612,1058544,3.814697265625e-06,72.1059958934784,0.09049874062447671,1.923947116779513,email/email_02.pcap,email,email_02_flow_1
flow_1,100.119.32.83,100.127.207.119,4500,4500,UDP,15910,16380164,107.34401607513428,116,1280,1029.5514770584539,477.4375679181555,148.21506201951647,152595.03602450353,3375,12535,401496,15978668,1.9073486328125e-06,6.407816171646118,0.006747376709732496,0.10310223481925519,email/email_03.pcap,email,email_03_flow_1
flow_1,100.119.32.83,100.127.207.119,4500,4500,UDP,100,121200,49.597774028778076,1212,1212,1212.0,0.0,2.0162195170689934,2443.6580546876203,50,50,60600,60600,0.137192964553833,0.8708009719848633,0.5009876164523038,0.3303308077631773,fragmented/fragmented_01.pcap,fragmented,fragmented_01_flow_1
