capture_id,source_pcap,traffic_category,status,packet_count,flow_count,tshark_packet_count,tshark_match,validation_status,validation_errors,error_message
bulk_01,bulk_transfer/bulk_01.pcap,bulk_transfer,SUCCESS,126812,1,126812,True,PASSED,,
bulk_02,bulk_transfer/bulk_02.pcap,bulk_transfer,SUCCESS,126931,1,126931,True,PASSED,,
bulk_03,bulk_transfer/bulk_03.pcap,bulk_transfer,SUCCESS,253357,1,253357,True,PASSED,,
chat_01,chat/chat_01.pcap,chat,SUCCESS,300,1,300,True,PASSED,,
chat_02,chat/chat_02.pcap,chat,SUCCESS,400,1,400,True,PASSED,,
chat_03,chat/chat_03.pcap,chat,SUCCESS,402,1,402,True,PASSED,,
email_01,email/email_01.pcap,email,SUCCESS,733,1,733,True,PASSED,,
email_02,email/email_02.pcap,email,SUCCESS,1424,1,1424,True,PASSED,,
email_03,email/email_03.pcap,email,SUCCESS,15910,1,15910,True,PASSED,,
fragmented_01,fragmented/fragmented_01.pcap,fragmented,SUCCESS,100,1,100,True,PASSED,,
fragmented_02,fragmented/fragmented_02.pcap,fragmented,SUCCESS,100,1,100,True,PASSED,,
fragmented_03,fragmented/fragmented_03.pcap,fragmented,SUCCESS,100,1,100,True,PASSED,,
icmp_01,icmp/icmp_01.pcap,icmp,SUCCESS,200,1,200,True,PASSED,,
icmp_02,icmp/icmp_02.pcap,icmp,SUCCESS,200,1,200,True,PASSED,,
icmp_03,icmp/icmp_03.pcap,icmp,SUCCESS,200,1,200,True,PASSED,,
video_01,video/video_01.pcap,video,SUCCESS,24108,1,24108,True,PASSED,,
video_02,video/video_02.pcap,video,SUCCESS,25147,1,25147,True,PASSED,,
video_03,video/video_03.pcap,video,SUCCESS,120264,1,120264,True,PASSED,,
audio_01,voip_audio/audio_01.pcap,voip_audio,SUCCESS,1532,1,1532,True,PASSED,,
audio_02,voip_audio/audio_02.pcap,voip_audio,SUCCESS,1439,1,1439,True,PASSED,,
audio_03,voip_audio/audio_03.pcap,voip_audio,SUCCESS,1907,1,1907,True,PASSED,,
web_01,web/web_01.pcap,web,SUCCESS,100,1,100,True,PASSED,,
web_02,web/web_02.pcap,web,SUCCESS,5583,1,5583,True,PASSED,,
web_03,web/web_03.pcap,web,SUCCESS,3246,1,3246,True,PASSED,,
